iter	Passed	Remaining
903	1095	116
904	1095	115
905	1096	113
906	1097	112
907	1097	111
908	1098	110
909	1099	108
910	1100	107
911	1101	106
912	1101	104
913	1102	103
914	1103	102
915	1104	101
916	1105	100
917	1105	98
918	1106	97
919	1107	96
920	1108	95
921	1108	93
922	1109	92
923	1110	91
924	1111	90
925	1111	88
926	1112	87
927	1113	86
928	1114	85
929	1114	83
930	1115	82
931	1116	81
932	1117	80
933	1118	79
934	1118	77
935	1119	76
936	1120	75
937	1121	74
938	1122	72
939	1122	71
940	1123	70
941	1124	69
942	1125	68
943	1126	66
944	1126	65
945	1127	64
946	1128	63
947	1128	61
948	1129	60
949	1130	59
950	1130	58
951	1131	57
952	1132	55
953	1133	54
954	1134	53
955	1134	52
956	1135	51
957	1136	49
958	1136	48
959	1137	47
960	1138	46
961	1139	45
962	1140	43
963	1140	42
964	1141	41
965	1142	40
966	1142	38
967	1143	37
968	1144	36
969	1145	35
970	1146	34
971	1146	33
972	1147	31
973	1148	30
974	1148	29
975	1149	28
976	1150	27
977	1152	25
978	1152	24
979	1153	23
980	1154	22
981	1155	21
982	1156	19
983	1156	18
984	1157	17
985	1158	16
986	1159	15
987	1160	14
988	1161	12
989	1161	11
990	1162	10
991	1163	9
992	1164	8
993	1164	7
994	1165	5
995	1166	4
996	1167	3
997	1167	2
998	1168	1
999	1169	0
